company_id,type,rule_id,text,confidence_pct,below_threshold
ABB,pro,PRO-01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,90.0,False
ABB,pro,PRO-02,Strong free cash flow generation over 5 years signals healthy business fundamentals,88.0,False
ABB,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,85.0,False
ABB,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,88.0,False
ABB,pro,PRO-08,Consistent dividend yield above 2% backed by positive free cash flow,65.0,False
ABB,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,84.0,False
ABB,pro,PRO-10,Return on equity improving for 3 consecutive years shows strengthening business quality,78.0,False
ABB,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,75.0,False
ABB,pro,PRO-12,Growing asset base funded by internal accruals reflects self-sustaining growth,80.0,False
ABB,pro,PRO-FALLBACK,Return on equity of 32.5% reflects the company's baseline capital efficiency.,95.0,False
ABB,con,CON-FALLBACK,Debt-to-equity of 0.02 is a general leverage level worth monitoring alongside sector peers.,5.0,True
ADANIENSOL,pro,PRO-04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,85.0,False
ADANIENSOL,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,82.0,False
ADANIENSOL,con,CON-01,Debt-to-equity ratio of 2.9 is elevated for a non-financial company and warrants monitoring,85.0,False
ADANIENSOL,con,CON-10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,80.0,False
ADANIENSOL,con,CON-11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,82.0,False
ADANIENT,pro,PRO-04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,85.0,False
ADANIENT,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,85.0,False
ADANIENT,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,84.0,False
ADANIENT,pro,PRO-10,Return on equity improving for 3 consecutive years shows strengthening business quality,78.0,False
ADANIENT,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,75.0,False
ADANIENT,con,CON-05,Revenue contraction over 2 consecutive years indicates demand weakness or market share loss,82.0,False
ADANIENT,con,CON-10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,80.0,False
ADANIENT,con,CON-11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,82.0,False
ADANIGREEN,pro,PRO-04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,85.0,False
ADANIGREEN,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,82.0,False
ADANIGREEN,con,CON-01,Debt-to-equity ratio of 6.6 is elevated for a non-financial company and warrants monitoring,85.0,False
ADANIGREEN,con,CON-10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,80.0,False
ADANIGREEN,con,CON-11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,82.0,False
ADANIGREEN,con,CON-FALLBACK,Debt-to-equity of 6.60 is a general leverage level worth monitoring alongside sector peers.,95.0,False
ADANIPORTS,pro,PRO-04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,85.0,False
ADANIPORTS,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,82.0,False
ADANIPORTS,pro,PRO-10,Return on equity improving for 3 consecutive years shows strengthening business quality,78.0,False
ADANIPORTS,con,CON-11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,82.0,False
ADANIPOWER,pro,PRO-01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,90.0,False
ADANIPOWER,pro,PRO-02,Strong free cash flow generation over 5 years signals healthy business fundamentals,88.0,False
ADANIPOWER,pro,PRO-04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,85.0,False
ADANIPOWER,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,82.0,False
ADANIPOWER,pro,PRO-10,Return on equity improving for 3 consecutive years shows strengthening business quality,78.0,False
ADANIPOWER,pro,PRO-12,Growing asset base funded by internal accruals reflects self-sustaining growth,80.0,False
ADANIPOWER,pro,PRO-FALLBACK,Return on equity of 48.3% reflects the company's baseline capital efficiency.,95.0,False
ADANIPOWER,con,CON-FALLBACK,Debt-to-equity of 0.80 is a general leverage level worth monitoring alongside sector peers.,16.046355313477807,True
AMBUJACEM,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,88.0,False
AMBUJACEM,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,75.0,False
AMBUJACEM,con,CON-FALLBACK,Debt-to-equity of 0.02 is a general leverage level worth monitoring alongside sector peers.,5.0,True
APOLLOHOSP,pro,PRO-02,Strong free cash flow generation over 5 years signals healthy business fundamentals,88.0,False
APOLLOHOSP,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,85.0,False
APOLLOHOSP,pro,PRO-08,Consistent dividend yield above 2% backed by positive free cash flow,65.0,False
APOLLOHOSP,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,84.0,False
APOLLOHOSP,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,75.0,False
APOLLOHOSP,con,CON-FALLBACK,Debt-to-equity of 0.77 is a general leverage level worth monitoring alongside sector peers.,15.377739331026527,True
ASIANPAINT,pro,PRO-01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,90.0,False
ASIANPAINT,pro,PRO-02,Strong free cash flow generation over 5 years signals healthy business fundamentals,88.0,False
ASIANPAINT,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,85.0,False
ASIANPAINT,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,88.0,False
ASIANPAINT,pro,PRO-08,Consistent dividend yield above 2% backed by positive free cash flow,65.0,False
ASIANPAINT,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,84.0,False
ASIANPAINT,pro,PRO-10,Return on equity improving for 3 consecutive years shows strengthening business quality,78.0,False
ASIANPAINT,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,75.0,False
ASIANPAINT,con,CON-08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,78.0,False
ASIANPAINT,pro,PRO-FALLBACK,Return on equity of 29.7% reflects the company's baseline capital efficiency.,89.03246475865015,False
ATGL,pro,PRO-04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,85.0,False
ATGL,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,85.0,False
ATGL,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,88.0,False
ATGL,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,84.0,False
ATGL,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,75.0,False
ATGL,con,CON-FALLBACK,Debt-to-equity of 0.43 is a general leverage level worth monitoring alongside sector peers.,8.69832402234637,True
AXISBANK,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,82.0,False
AXISBANK,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,85.0,False
AXISBANK,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,84.0,False
AXISBANK,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,75.0,False
AXISBANK,con,CON-10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,80.0,False
AXISBANK,con,CON-11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,82.0,False
AXISBANK,con,CON-FALLBACK,Debt-to-equity of 8.25 is a general leverage level worth monitoring alongside sector peers.,95.0,False
BAJAJ-AUTO,pro,PRO-01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,90.0,False
BAJAJ-AUTO,pro,PRO-02,Strong free cash flow generation over 5 years signals healthy business fundamentals,88.0,False
BAJAJ-AUTO,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,88.0,False
BAJAJ-AUTO,pro,PRO-08,Consistent dividend yield above 2% backed by positive free cash flow,65.0,False
BAJAJ-AUTO,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,75.0,False
BAJAJ-AUTO,con,CON-08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,78.0,False
BAJAJ-AUTO,pro,PRO-FALLBACK,Return on equity of 26.6% reflects the company's baseline capital efficiency.,79.84255230992335,False
BAJAJFINSV,pro,PRO-01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,90.0,False
BAJAJFINSV,pro,PRO-04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,85.0,False
BAJAJFINSV,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,82.0,False
BAJAJFINSV,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,85.0,False
BAJAJFINSV,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,84.0,False
BAJAJFINSV,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,75.0,False
BAJAJFINSV,con,CON-02,Free cash flow negative for 3 consecutive years raises concern about cash generation quality,88.0,False
BAJAJFINSV,con,CON-08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,78.0,False
BAJAJFINSV,con,CON-11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,82.0,False
BAJAJFINSV,con,CON-FALLBACK,Debt-to-equity of 4.79 is a general leverage level worth monitoring alongside sector peers.,95.0,False
BAJAJFINSV,pro,PRO-FALLBACK,Return on equity of 25.9% reflects the company's baseline capital efficiency.,77.55105423683861,False
BAJAJHLDNG,pro,PRO-04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,85.0,False
BAJAJHLDNG,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,82.0,False
BAJAJHLDNG,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,88.0,False
BAJAJHLDNG,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,84.0,False
BAJAJHLDNG,pro,PRO-10,Return on equity improving for 3 consecutive years shows strengthening business quality,78.0,False
BAJAJHLDNG,con,CON-10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,80.0,False
BAJFINANCE,pro,PRO-04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,85.0,False
BAJFINANCE,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,82.0,False
BAJFINANCE,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,85.0,False
BAJFINANCE,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,88.0,False
BAJFINANCE,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,84.0,False
BAJFINANCE,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,75.0,False
BAJFINANCE,con,CON-02,Free cash flow negative for 3 consecutive years raises concern about cash generation quality,88.0,False
BAJFINANCE,con,CON-03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,80.0,False
BAJFINANCE,con,CON-10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,80.0,False
BAJFINANCE,con,CON-11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,82.0,False
BAJFINANCE,con,CON-FALLBACK,Debt-to-equity of 3.82 is a general leverage level worth monitoring alongside sector peers.,76.49577552936267,False
BANKBARODA,pro,PRO-04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,85.0,False
BANKBARODA,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,82.0,False
BANKBARODA,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,85.0,False
BANKBARODA,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,84.0,False
BANKBARODA,pro,PRO-10,Return on equity improving for 3 consecutive years shows strengthening business quality,78.0,False
BANKBARODA,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,75.0,False
BANKBARODA,con,CON-03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,80.0,False
BANKBARODA,con,CON-10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,80.0,False
BANKBARODA,con,CON-11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,82.0,False
BANKBARODA,con,CON-FALLBACK,Debt-to-equity of 12.14 is a general leverage level worth monitoring alongside sector peers.,95.0,False
BEL,pro,PRO-01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,90.0,False
BEL,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,88.0,False
BEL,pro,PRO-10,Return on equity improving for 3 consecutive years shows strengthening business quality,78.0,False
BEL,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,75.0,False
BEL,pro,PRO-FALLBACK,Return on equity of 4744.0% reflects the company's baseline capital efficiency.,95.0,False
BEL,con,CON-FALLBACK,Debt-to-equity of 0.51 is a general leverage level worth monitoring alongside sector peers.,10.238095238095237,True
BHARTIARTL,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,82.0,False
BHARTIARTL,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,85.0,False
BHARTIARTL,pro,PRO-08,Consistent dividend yield above 2% backed by positive free cash flow,65.0,False
BHARTIARTL,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,84.0,False
BHARTIARTL,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,75.0,False
BHARTIARTL,con,CON-01,Debt-to-equity ratio of 2.6 is elevated for a non-financial company and warrants monitoring,85.0,False
BHEL,con,CON-08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,78.0,False
BHEL,con,CON-10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,80.0,False
BHEL,con,CON-11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,82.0,False
BHEL,con,CON-12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,75.0,False
BHEL,pro,PRO-FALLBACK,Return on equity of 1.2% reflects the company's baseline capital efficiency.,5.0,True
BOSCHLTD,pro,PRO-02,Strong free cash flow generation over 5 years signals healthy business fundamentals,88.0,False
BOSCHLTD,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,88.0,False
